83	     58275	     174561	     208665	     258907	     303163	     384163	     807767	     832206	     873833
945312	 1001646	 1043008	 1258543	 1359352	 1368804	 1374267	 1387121	 1393132	 1425834
1525219	 1559716	 1818161	 1868705	 1963159	 1979203	 2201180	 2273884	 2317169	 2341184
2618682	 2691913	 2891058	 3162818	 3231751	 3235568	 3421646	 3485109	 3491073	 3559625
3824436	 3977299	 4063252	 4116062	 4241624	 4260132	 4338556	 4346310	 4357449	 4433885
4472610	 4482655	 4525260	 4788579	 5056382	 5124034	 5353410	 5379763	 5395597	 5397529
5482219	 5548733	 5677211	 5736336	 5882409	 5902864	 6207076	 6241687	 6251461	 6285620
6334770	 6376649	 6439847	 6570630	 6573091	 6963887	 7011359	 7036816	 7265322	 7395305
7452579	 7671750	 7854907	 8007659	 8249378	 8254332	 8378420	 8431826	 8580095	 8598403
8889278	 8902963	 9046402	 9122364	 9277162	 9328658	 9761373	 9806544	 9839757	 9930410
