 9953190	 9923597	 9642108	 9510455	 9501259	 9455386	 9406829	 9288537	 9163956	 9138725
 9130874	 8914348	 8848154	 8824288	 8746223	 8714949	 8667689	 8598002	 8340220	 8295612
 8257246	 8230953	 8181109	 8068092	 7975767	 7541098	 7452279	 7392597	 7357488	 7108208
 7053437	 6930043	 6901334	 6803935	 6465222	 6316503	 6307407	 6132976	 6093966	 5954888
 5665520	 5642937	 5584205	 5583253	 5502267	 5429199	 5353274	 5297558	 5294001	 5177252
 5162138	 5120890	 4797677	 4710437	 4704397	 4641058	 4531692	 4477005	 4474232	 4468766
 4377819	 4303607	 4230065	 4216530	 4184004	 4150209	 4130140	 4050806	 3886595	 3871286
 3521404	 3439345	 3289040	 3051961	 2971293	 2686455	 2663329	 2519774	 2434381	 2128711
 2039209	 2038015	 2036168	 1825596	 1634236	 1504083	 1499863	 1414512	 1319220	 1251683
 1178412	 1021696	  818628	  760341	  584658	  559030	  408971	  404511	  372751	  238558
